;;;;;;;;;;;;;;;;;22.874.636,98;;;
Sì/No (R);Chiave (S);Project ID (T);Comune (U);Comune (V);BU (W);Type of service (X);Type of Contract (Y);Dettaglio commessa (Z);Activity Code (AA);04 - Materiali (AB);02 - Servizi (AC);03 - Manodopera (AD);01 - Oneri (AE);Totale (AF);% ATI (AG);Capitalizzazioni (AH);Capitalizzazione + Costi indiretti (AI);Società (AJ);Stato;Nota
;;PPP-IPU-F826-01;COMUNE DI MUSILE DI PIAVE ;Musile di Piave;North East;Public Streetlighting;PPP; MUSILE DI PIAVE ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;145.014,80;CMV II;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-M428-02;COMUNE DI PRESICCE - ACQUARICA ;Presicce;South;Public Streetlighting;PPP; PRESICCE-ACQUARICA (sussidiaria) ILL. PUBBLICA;Construction(OLD);;;;;;;;394.653,75;Presicce;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-B506-01;COMUNE DI CAMPI SALENTINA ;Campi Salentina;South;Public Streetlighting;PPP; CAMPI SALENTINA ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;74.706,89;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-E882-01;COMUNE DI MANDURIA ;Manduria;South;Public Streetlighting;PPP; MANDURIA ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;114.755,81;Civismart;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-I480-02;COMUNE DI SAVONA ;Savona;North West;Public Streetlighting;PPP; IMPIANTI COMUNE DI SAVONA;Construction(OLD);;;;;;;;181.436,85;Ottima;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-F229-01;Comune di Mira ;Mira;North East;Public Streetlighting;PPP; IMPIANTI COMUNE DI MIRA;Construction(OLD);;;;;;;;245.954,22;CMV I;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-C334-01;COMUNE DI CASTRI DI LECCE ;Castri Di Lecce;South;Public Streetlighting;PPP; CASTRI DI LECCE ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;4681,5005;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-EEE-B506-04;COMUNE DI CAMPI SALENTINA ;Campi Salentina;South;Smart Buildings;Smart Buildings; EFFICIENTAMENTO ENERGETICO EDIFICI LOTTO 4 E.L.EN.A.;Construction(OLD);;;;;;;;125.591,40;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-C448-01;COMUNE DI CELLINO SAN MARCO ;Cellino San Marco;South;Public Streetlighting;PPP; CELLINO SAN MARCO ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;50.842,81;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-F241-01;Comune di Mirano ;Mirano;North East;Public Streetlighting;PPP; IMPIANTI COMUNE DI MIRANO;Construction(OLD);;;;;;;;192.207,02;CMV I;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-L484-01;COMUNE DI UGENTO ;Ugento;South;Public Streetlighting;PPP; UGENTO ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;86.653,45;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-D883-01;COMUNE DI GALLIPOLI ;Gallipoli;South;Public Streetlighting;PPP; GALLIPOLI ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;47.901,82;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-EEE-B294-03;Comune di Bussi sul Tirino - ufficio tecnico ;Bussi Sul Tirino Hm;Centre;Smart Buildings;Smart Buildings; BUSSI SUL TIRINO EFF.TO ENERGETICO EDIFICI;Construction(OLD);;;;;;;;20.847,81;Bussi;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
