;;;;;;;;;0;0;;;;0;
Società (B);Quadro (C);Altro (D);Ricla MG esteso (E);Codice Conto (F);Conto COGE (G);Cluster II (H);Conto COGE I livello (I);Conto COGE II livello (J);Valore mese € — CVS;Valore mese € — De Giorgi;Stato;Nota;;TOTALE;
CVS;SP;;Tangible Assets;100465;F/Amm Fabbricati Ind.Li E Comm. Li (MiniPia);Terreni e fabbricati;Immobilizzazioni Materiali;Bll.1 - terreni e fabbricati;-59.135,35;0;;Bilancio di Verifica;;-59.135,35;100465
CVS;SP;;Tangible Assets;100467;F/Amm. Beni Inferiori Ai 516,46 Euro;Other tangible;Immobilizzazioni Materiali;BII. 4 - altri beni;-18.097,31;0;;Bilancio di Verifica;;-18.097,31;100467
CVS;SP;FV;Tangible Assets;100469;Immobiliazioni Materiali In Corso - FV Avezzano 3;Fotovoltaico in corso;N/A_Conti Infrannuali;N/A_conti infrannuali;1.164.176,77;0;;Bilancio di Verifica;;1.164.176,77;100469
CVS;SP;FV;Tangible Assets;100471;Immobiliazioni Materiali In Corso - FV Montorio al Vomano 1;Fotovoltaico in corso;N/A_Conti Infrannuali;N/A_conti infrannuali;1.645.137,95;0;;Bilancio di Verifica;;1.645.137,95;100471
CVS;SP;FV;Tangible Assets;100473;Immobiliazioni Materiali In Corso - FV Giulianova;Fotovoltaico in corso;TBD;TBD;921.393,76;0;;Bilancio di Verifica;;921.393,76;100473
CVS;SP;FV;Tangible Assets;100475;Immobiliazioni Materiali In Corso - FV Borgorose;Fotovoltaico in corso;TBD;TBD;973.496,14;0;;Bilancio di Verifica;;973.496,14;100475
CVS;SP;FV;Tangible Assets;100477;Immobiliazioni Materiali In Corso - FV Copertino 1;Fotovoltaico in corso;TBD;TBD;1.115.669,57;0;;Bilancio di Verifica;;1.115.669,57;100477
CVS;SP;FV;Tangible Assets;100479;Immobiliazioni Materiali In Corso - FV Corfinio;Fotovoltaico in corso;TBD;TBD;829.090,49;0;;Bilancio di Verifica;;829.090,49;100479
CVS;SP;FV;Tangible Assets;100481;Immobiliazioni Materiali In Corso - FV Avezzano 4;Fotovoltaico in corso;TBD;TBD;1.087.160,78;0;;Bilancio di Verifica;;1.087.160,78;100481
CVS;SP;FV;Tangible Assets;100483;Immobiliazioni Materiali In Corso - FV Montorio al Vomano 3;Fotovoltaico in corso;TBD;TBD;991.956,75;0;;Bilancio di Verifica;;991.956,75;100483
CVS;SP;FV;Tangible Assets;100485;Immobiliazioni Materiali In Corso - FV Montorio al Vomano 4;Fotovoltaico in corso;TBD;TBD;916.403,37;0;;Bilancio di Verifica;;916.403,37;100485
CVS;SP;FV;Tangible Assets;100487;Immobiliazioni Materiali In Corso - FV Collarmele;Fotovoltaico in corso;TBD;TBD;838.538,06;0;;Bilancio di Verifica;;838.538,06;100487
CVS;SP;FV;Tangible Assets;100489;Immobiliazioni Materiali In Corso - FV Campi Salentina 1;Fotovoltaico in corso;TBD;TBD;1.087.448,49;0;;Bilancio di Verifica;;1.087.448,49;100489
CVS;SP;FV;Tangible Assets;100491;Immobiliazioni Materiali In Corso - FV Copertino 2;Fotovoltaico in corso;TBD;TBD;766.621,33;0;;Bilancio di Verifica;;766.621,33;100491
CVS;SP;FV;Tangible Assets;100493;Immobiliazioni Materiali In Corso - FV Carmiano;Fotovoltaico in corso;TBD;TBD;270.032,82;0;;Bilancio di Verifica;;270.032,82;100493
CVS;SP;FV;Tangible Assets;100495;Immobiliazioni Materiali In Corso - FV Raiano 1;Fotovoltaico in corso;TBD;TBD;261.711,78;0;;Bilancio di Verifica;;261.711,78;100495
CVS;SP;FV;Tangible Assets;100497;Immobiliazioni Materiali In Corso - FV Raiano 2;Fotovoltaico in corso;TBD;TBD;330.943,51;0;;Bilancio di Verifica;;330.943,51;100497
CVS;SP;FV;Tangible Assets;100499;Immobiliazioni Materiali In Corso - FV Tricase;Fotovoltaico in corso;TBD;TBD;143.607,90;0;;Bilancio di Verifica;;143.607,90;100499
CVS;SP;;Intangible Assets;100501;Diritti D'uso;Leasing;TBD;TBD;3.399.355,54;0;;Bilancio di Verifica;;3.399.355,54;100501
CVS;SP;;Intangible Assets;100503;Fondo amm.to diritti d'uso;Leasing;TBD;TBD;-1.302.951,51;0;;Bilancio di Verifica;;-1.302.951,51;100503
CVS;SP;FV;Tangible Assets;100505;Immobiliazioni Materiali In Corso - FV San Giorgio Ionico;Fotovoltaico in corso;TBD;TBD;154.101,24;0;;Bilancio di Verifica;;154.101,24;100505
CVS;SP;FV;Tangible Assets;100509;Immobiliazioni Materiali In Corso - FV Avezzano 5;Fotovoltaico in corso;TBD;TBD;57.320,60;0;;Bilancio di Verifica;;57.320,60;100509
CVS;SP;FV;Tangible Assets;100513;Immobiliazioni Materiali In Corso - FV Taviano 2;Fotovoltaico in corso;TBD;TBD;411.699,71;0;;Bilancio di Verifica;;411.699,71;100513
CVS;SP;FV;Tangible Assets;100515;Immobiliazioni Materiali In Corso - FV Scurcola 1;Fotovoltaico in corso;TBD;TBD;110.808,86;0;;Bilancio di Verifica;;110.808,86;100515
CVS;SP;;Financial Assets;100601;Partecipazioni Imp. Controllate;Partecipazioni imprese controllate;Immobilizzazioni Finanziarie;BlII. 1a- Partecipazioni in imprese controllate;12.654.421,80;0;;Bilancio di Verifica;;12.654.421,80;100601
CVS;SP;;Financial Assets;100603;Partecipazioni Imp. Collegate;Partecipazioni imprese collegate;TBD;TBD;491.899,50;0;;Bilancio di Verifica;;491.899,50;100603
CVS;SP;;Financial Assets;100605;Partecipazioni Imp. Altre Imprese;Partecipazioni altre imprese;Immobilizzazioni Finanziarie;BlII. 1d-bis - Partecipazioni in altre imprese;46.954,62;2066;;Bilancio di Verifica;;49.020,62;100605
CVS;SP;;Other Credit;100607;Crediti Vs. Imp. Controllate;;Immobilizzazioni Finanziarie;BlII.2a - verso imprese controllate;17.114.347,02;0;;Bilancio di Verifica;;17.114.347,02;100607
CVS;SP;;Other Credit;100609;Crediti Vs. Imp. Collegate;;N/A_Conti Infrannuali;N/A_conti infrannuali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;100609
CVS;SP;;Other Credit;100611;Crediti Vs. Imp. Altre Imprese;;N/A_Conti Infrannuali;N/A_conti infrannuali;3992;0;;Bilancio di Verifica;;3.992,00;100611
CVS;SP;;Other Credit;100615;Crediti Vs. Altri;;Immobilizzazioni Finanziarie;BlII.2d-bis - verso altri;120.180,32;0;;Bilancio di Verifica;;120.180,32;100615
